Авилов 	 Avilov
Ольденбургский А. П., принц 	 Ol'denburgskij A. P., prints
Онегин (музей Онегина) 	 Onegin (muzej Onegina)
Орлов-Давыдов 	 Orlov-Davydov
Осоргин М. А. 	 Osorgin M. A.
Осоргина (Рери) 	 Osorgina (Reri)
Осоргины 	 Osorginy
Оцуп Н. А. 	 Otsup N. A.
Павловичи 	 Pavlovichi
Палеолог 	 Paleolog
Паскаль 	 Paskal'
Петр Великий 	 Petr Velikij
Петр Николаевич, вел. кн. 	 Petr Nikolaevich, vel. kn.
Петрарка 	 Petrarka
Петровская H. И. (Соколова-Кречетова) 	 Petrovskaja H. I. (Sokolova-Krechetova)
Пешков А. М. см. Горький 	 Peshkov A. M. sm. Gor'kij
Пешков Максим 	 Peshkov Maksim
Пешкова Е. П. 	 Peshkova E. P.
Пикассо Пабло 	 Pikasso Pablo
Пилкины 	 Pilkiny
Пилсудский Ю. 	 Pilsudskij Ju.
Писаревские 	 Pisarevskie
Платон 	 Platon
Плевако Ф. Н. 	 Plevako F. N.
Плевицкая Н. В. 	 Plevitskaja N. V.
Плеханов Г. В. 	 Plehanov G. V.
Плещеев 	 Plescheev
Плотин 	 Plotin
По Эдгар 	 Po Edgar
Полнер Т. И. 	 Polner T. I.
Полонский Я. Б. 	 Polonskij Ja. B.
Полонские 	 Polonskie
Поляков А. А. 	 Poljakov A. A.
Поляков-Литовцев С. Л. 	 Poljakov-Litovtsev S. L.
Потресов С. В. см. Яблоновский 	 Potresov S. V. sm. Jablonovskij
Прево Марсель 	 Prevo Marsel'
Прокопович 	 Prokopovich
Прокофьев С. С. 	 Prokof'ev S. S.
Пруст М. 	 Prust M.
Пуанкарэ Р. 	 Puankare R.
Пуарэ 	 Puare
Пушкин 	 Pushkin
Пэти Е. Ю. 	 Peti E. Ju.
Радищев А. Н. 	 Radischev A. N.
Раковский 	 Rakovskij
Распутин Гр. 	 Rasputin Gr.
Рахманинов С. В. 	 Rahmaninov S. V.
Рахманинова 	 Rahmaninova
Рахманинова см. Конюс Т. С. 	 Rahmaninova sm. Konjus T. S.
Рахманиновы 	 Rahmaninovy
Рачковский 	 Rachkovskij
Ремизов А. М. 	 Remizov A. M.
Репин Илья 	 Repin Il'ja
Рильке Райнер М. 	 Ril'ke Rajner M.
Роговский 	 Rogovskij
Роджерс 	 Rodzhers
Родэн Р. Ф. О. 	 Roden R. F. O.
Розанов В. В. 	 Rozanov V. V.
Розенберг К. 	 Rozenberg K.
Розенталь Л. М. 	 Rozental' L. M.
Роллан Ромэн 	 Rollan Romen
Ролль 	 Roll'
Романовы 	 Romanovy
Ростовцев М. И. 	 Rostovtsev M. I.
Ростовцевы 	 Rostovtsevy
Рощин Н. (Капитан) 	 Roschin N. (Kapitan)
Рощина-Инсарова Е. 	 Roschina-Insarova E.
Руднев В. В. 	 Rudnev V. V.
Рудневы 	 Rudnevy
Русов 	 Rusov
Рябушинская М. Д. 	 Rjabushinskaja M. D.
Савельев А. 	 Savel'ev A.
Савинков Б. В. 	 Savinkov B. V.
Савинкова Е. И. 	 Savinkova E. I.
Савинковы 	 Savinkovy
Сазонов И. 	 Sazonov I.
Сальери А. 	 Sal'eri A.
Самозванец (Дмитрий Отрепьев) 	 Samozvanets (Dmitrij Otrep'ev)
Самойловы 	 Samojlovy
Серов С. М., д-р 	 Serov S. M., d-r
